,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean
0,CL:0000084 ATAC-seq,.,ATAC-seq,CL:0000084,T-cell,primary_cell,adult,encode,paired,False,0.7397409677505493
1,CL:0000100 ATAC-seq,.,ATAC-seq,CL:0000100,motor neuron,in_vitro_differentiated_cells,adult,encode,paired,False,0.27313634753227234
2,CL:0000236 ATAC-seq,.,ATAC-seq,CL:0000236,B cell,primary_cell,adult,encode,paired,False,4.7000813484191895
3,CL:0000623 ATAC-seq,.,ATAC-seq,CL:0000623,natural killer cell,primary_cell,adult,encode,paired,False,0.9387146234512329
4,CL:0000624 ATAC-seq,.,ATAC-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,4.365206241607666
5,CL:0000625 ATAC-seq,.,ATAC-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,4.313536643981934
6,CL:0000787 ATAC-seq,.,ATAC-seq,CL:0000787,memory B cell,primary_cell,adult,encode,paired,False,2.8392298221588135
7,CL:0000788 ATAC-seq,.,ATAC-seq,CL:0000788,naive B cell,primary_cell,adult,encode,paired,False,1.5962289571762085
8,CL:0000792 ATAC-seq,.,ATAC-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,adult,encode,paired,False,1.5548043251037598
9,CL:0000895 ATAC-seq,.,ATAC-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,1.0227291584014893
10,CL:0000899 ATAC-seq,.,ATAC-seq,CL:0000899,T-helper 17 cell,primary_cell,adult,encode,paired,False,1.5611252784729004
11,CL:0000900 ATAC-seq,.,ATAC-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,1.8816421031951904
12,CL:0000907 ATAC-seq,.,ATAC-seq,CL:0000907,"central memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,4.821074485778809
13,CL:0000913 ATAC-seq,.,ATAC-seq,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,2.472047805786133
14,CL:1001606 ATAC-seq,.,ATAC-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,encode,paired,False,0.4663943946361542
15,CLO:0013950 ATAC-seq,.,ATAC-seq,CLO:0013950,GM21619,cell_line,adult,encode,paired,False,1.7834908962249756
16,CLO:0014043 ATAC-seq,.,ATAC-seq,CLO:0014043,GM21717,cell_line,adult,encode,paired,False,1.2564560174942017
17,CLO:0014078 ATAC-seq,.,ATAC-seq,CLO:0014078,GM21529,cell_line,adult,encode,paired,False,1.5800923109054565
18,CLO:0014080 ATAC-seq,.,ATAC-seq,CLO:0014080,GM21528,cell_line,adult,encode,paired,False,1.3013041019439697
19,CLO:0014083 ATAC-seq,.,ATAC-seq,CLO:0014083,GM21526,cell_line,adult,encode,paired,False,1.3625142574310303
20,CLO:0014097 ATAC-seq,.,ATAC-seq,CLO:0014097,GM21576,cell_line,adult,encode,paired,False,1.7179261445999146
21,CLO:0014163 ATAC-seq,.,ATAC-seq,CLO:0014163,GM21447,cell_line,adult,encode,paired,False,2.170809030532837
22,CLO:0014886 ATAC-seq,.,ATAC-seq,CLO:0014886,GM21723,cell_line,adult,encode,paired,False,1.3347936868667603
23,CLO:0014941 ATAC-seq,.,ATAC-seq,CLO:0014941,GM21825,cell_line,adult,encode,paired,False,1.5821340084075928
24,CLO:0015884 ATAC-seq,.,ATAC-seq,CLO:0015884,GM21390,cell_line,adult,encode,paired,False,1.7690157890319824
25,CLO:0015895 ATAC-seq,.,ATAC-seq,CLO:0015895,GM21381,cell_line,adult,encode,paired,False,1.7851890325546265
26,CLO:0015900 ATAC-seq,.,ATAC-seq,CLO:0015900,GM21367,cell_line,adult,encode,paired,False,2.0021002292633057
27,CLO:0015908 ATAC-seq,.,ATAC-seq,CLO:0015908,GM21360,cell_line,adult,encode,paired,False,1.826042890548706
28,CLO:0015947 ATAC-seq,.,ATAC-seq,CLO:0015947,GM21423,cell_line,adult,encode,paired,False,1.6216312646865845
29,CLO:0024877 ATAC-seq,.,ATAC-seq,CLO:0024877,GM18511,cell_line,adult,encode,paired,False,1.3245776891708374
30,CLO:0024886 ATAC-seq,.,ATAC-seq,CLO:0024886,GM18519,cell_line,adult,encode,paired,False,1.904711365699768
31,CLO:0024890 ATAC-seq,.,ATAC-seq,CLO:0024890,GM18517,cell_line,adult,encode,paired,False,1.3415968418121338
32,CLO:0024898 ATAC-seq,.,ATAC-seq,CLO:0024898,GM18520,cell_line,adult,encode,paired,False,1.8731361627578735
33,CLO:0024919 ATAC-seq,.,ATAC-seq,CLO:0024919,GM18508,cell_line,adult,encode,paired,False,2.859638214111328
34,CLO:0024933 ATAC-seq,.,ATAC-seq,CLO:0024933,GM18499,cell_line,adult,encode,paired,False,3.3136110305786133
35,CLO:0024937 ATAC-seq,.,ATAC-seq,CLO:0024937,GM18498,cell_line,adult,encode,paired,False,1.1740740537643433
36,CLO:0025816 ATAC-seq,.,ATAC-seq,CLO:0025816,GM19035,cell_line,adult,encode,paired,False,1.7000188827514648
37,CLO:0026238 ATAC-seq,.,ATAC-seq,CLO:0026238,GM18907,cell_line,adult,encode,paired,False,0.7575818300247192
38,CLO:0026245 ATAC-seq,.,ATAC-seq,CLO:0026245,GM18873,cell_line,adult,encode,paired,False,1.4657907485961914
39,CLO:0026249 ATAC-seq,.,ATAC-seq,CLO:0026249,GM18870,cell_line,adult,encode,paired,False,1.5401667356491089
