,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source,endedness,genetically_modified,nonzero_mean
66,CL:0002568 total RNA-seq,+,total RNA-seq,CL:0002568,mesenchymal stem cell of Wharton's jelly,primary_cell,newborn,,encode,paired,False,0.0961650162935257
67,CL:0002570 total RNA-seq,+,total RNA-seq,CL:0002570,mesenchymal stem cell of adipose,primary_cell,adult,,encode,paired,False,0.09018003195524216
68,CL:0002577 total RNA-seq,+,total RNA-seq,CL:0002577,placental epithelial cell,primary_cell,newborn,,encode,paired,False,0.11396694928407669
69,CL:0002583 total RNA-seq,+,total RNA-seq,CL:0002583,subcutaneous preadipocyte,primary_cell,adult,,encode,paired,False,0.10257883369922638
70,CL:0002584 total RNA-seq,+,total RNA-seq,CL:0002584,renal cortical epithelial cell,primary_cell,adult,,encode,paired,False,0.10081365704536438
71,CL:0002591 total RNA-seq,+,total RNA-seq,CL:0002591,smooth muscle cell of the pulmonary artery,primary_cell,adult,,encode,paired,False,0.09092094004154205
72,CL:0002592 total RNA-seq,+,total RNA-seq,CL:0002592,smooth muscle cell of the coronary artery,primary_cell,adult,,encode,paired,False,0.12711140513420105
73,CL:0002594 total RNA-seq,+,total RNA-seq,CL:0002594,smooth muscle cell of the umbilical artery,primary_cell,newborn,,encode,paired,False,0.10356000065803528
74,CL:0002597 total RNA-seq,+,total RNA-seq,CL:0002597,smooth muscle cell of bladder,primary_cell,adult,,encode,paired,False,0.09343661367893219
75,CL:0002598 total RNA-seq,+,total RNA-seq,CL:0002598,bronchial smooth muscle cell,primary_cell,adult,,encode,paired,False,0.10710306465625763
76,CL:0002600 total RNA-seq,+,total RNA-seq,CL:0002600,smooth muscle cell of trachea,primary_cell,adult,,encode,paired,False,0.11234711110591888
77,CL:0002601 total RNA-seq,+,total RNA-seq,CL:0002601,uterine smooth muscle cell,primary_cell,adult,,encode,paired,False,0.09602709114551544
78,CL:0002618 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,,encode,paired,False,0.189997598528862
79,CL:0002618 total RNA-seq,+,total RNA-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,,encode,single,False,0.15063536167144775
80,CL:0010002 total RNA-seq,+,total RNA-seq,CL:0010002,epithelial cell of umbilical artery,primary_cell,newborn,,encode,paired,False,0.15703600645065308
81,CL:0010003 total RNA-seq,+,total RNA-seq,CL:0010003,epithelial cell of alveolus of lung,primary_cell,"unknown,embryonic",,encode,paired,False,0.24646669626235962
82,CL:0011012 total RNA-seq,+,total RNA-seq,CL:0011012,neural crest cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.13397547602653503
83,CL:0011019 total RNA-seq,+,total RNA-seq,CL:0011019,mesothelial cell of epicardium,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.08205718547105789
84,CL:0011020 total RNA-seq,+,total RNA-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,,encode,paired,False,0.11665403842926025
85,CL:1000458 total RNA-seq,+,total RNA-seq,CL:1000458,melanocyte of skin,primary_cell,adult,,encode,paired,False,0.11369024962186813
86,CL:1001568 total RNA-seq,+,total RNA-seq,CL:1001568,pulmonary artery endothelial cell,primary_cell,adult,,encode,paired,False,0.11397112160921097
87,CL:1001606 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,,encode,paired,False,0.1255163997411728
88,CL:1001606 total RNA-seq,+,total RNA-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,,encode,paired,False,0.14636552333831787
89,CL:1001608 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:1001608,foreskin fibroblast,primary_cell,newborn,,encode,paired,False,0.1319681853055954
90,CL:2000001 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:2000001,peripheral blood mononuclear cell,primary_cell,adult,,encode,paired,False,0.1745203137397766
91,CL:2000007 total RNA-seq,+,total RNA-seq,CL:2000007,articular chondrocyte of knee joint,primary_cell,adult,,encode,paired,False,0.08014936000108719
92,CL:2000010 total RNA-seq,+,total RNA-seq,CL:2000010,dermis blood vessel endothelial cell,primary_cell,child,,encode,paired,False,0.13320288062095642
93,CL:2000011 total RNA-seq,+,total RNA-seq,CL:2000011,dermis lymphatic vessel endothelial cell,primary_cell,"child,adult",,encode,paired,False,0.11345934867858887
94,CL:2000016 total RNA-seq,+,total RNA-seq,CL:2000016,lung microvascular endothelial cell,primary_cell,adult,,encode,paired,False,0.126098170876503
95,CL:2000018 total RNA-seq,+,total RNA-seq,CL:2000018,endothelial cell of coronary artery,primary_cell,adult,,encode,paired,False,0.10375294089317322
96,CL:2000040 total RNA-seq,+,total RNA-seq,CL:2000040,bladder microvascular endothelial cell,primary_cell,adult,,encode,paired,False,0.10876604169607162
97,CL:2000041 total RNA-seq,+,total RNA-seq,CL:2000041,dermis microvascular lymphatic vessel endothelial cell,primary_cell,adult,,encode,paired,False,0.11738797277212143
98,CL:2000045 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:2000045,foreskin melanocyte,primary_cell,newborn,,encode,paired,False,0.10135364532470703
99,CL:2000066 total RNA-seq,+,total RNA-seq,CL:2000066,cardiac ventricle fibroblast,primary_cell,"adult,unknown",,encode,paired,False,0.23313458263874054
100,CL:2000067 total RNA-seq,+,total RNA-seq,CL:2000067,cardiac atrium fibroblast,primary_cell,child,,encode,paired,False,0.45500898361206055
101,CL:2000068 total RNA-seq,+,total RNA-seq,CL:2000068,pericardium fibroblast,primary_cell,"embryonic,unknown",,encode,paired,False,0.4414302408695221
